date,open,high,low,close,volume
2017-08-17 07:14,4261.48000000,4280.56000000,4261.48000000,4261.48000000,2.18906100
2017-08-17 07:29,4261.48000000,4270.41000000,4261.32000000,4261.45000000,9.11986500
2017-08-17 07:44,4280.00000000,4310.07000000,4267.99000000,4310.07000000,21.92355200
2017-08-17 07:59,4310.07000000,4313.62000000,4291.37000000,4308.83000000,13.94853100
2017-08-17 08:14,4308.83000000,4328.69000000,4304.31000000,4304.31000000,5.10115300
2017-08-17 08:29,4320.00000000,4320.00000000,4312.14000000,4320.00000000,15.94749500
2017-08-17 08:44,4320.00000000,4320.00000000,4291.37000000,4291.37000000,2.15545300
2017-08-17 08:59,4297.04000000,4315.32000000,4297.04000000,4315.32000000,0.03081500
2017-08-17 09:14,4330.29000000,4330.29000000,4318.39000000,4330.00000000,0.06536400
2017-08-17 09:29,4309.37000000,4330.29000000,4309.37000000,4311.02000000,3.50091300
2017-08-17 09:44,4328.65000000,4345.45000000,4319.83000000,4345.45000000,3.49417600
2017-08-17 09:59,4345.45000000,4345.45000000,4324.35000000,4324.35000000,0.16923800
2017-08-17 10:14,4316.62000000,4316.62000000,4316.62000000,4316.62000000,0.00154100
2017-08-17 10:29,4291.38000000,4291.38000000,4291.38000000,4291.38000000,0.03891800
2017-08-17 10:44,4291.39000000,4300.00000000,4291.39000000,4300.00000000,0.71890100
2017-08-17 10:59,4287.41000000,4349.99000000,4287.41000000,4349.99000000,3.68388900
2017-08-17 11:14,4333.32000000,4377.85000000,4333.32000000,4360.71000000,0.76641700
2017-08-17 11:29,4360.71000000,4360.71000000,4360.70000000,4360.70000000,0.07584300
2017-08-17 11:44,4360.70000000,4360.70000000,4360.00000000,4360.69000000,0.09926200
2017-08-17 11:59,4360.70000000,4360.70000000,4360.69000000,4360.69000000,0.03128500
2017-08-17 12:14,4360.00000000,4360.00000000,4360.00000000,4360.00000000,0.00629600
2017-08-17 12:29,4360.00000000,4360.00000000,4360.00000000,4360.00000000,2.28870500
2017-08-17 12:44,4360.00000000,4445.78000000,4360.00000000,4436.51000000,8.41080000
2017-08-17 12:59,4444.00000000,4444.00000000,4444.00000000,4444.00000000,0.05782200
2017-08-17 13:14,4441.10000000,4441.10000000,4399.81000000,4400.00000000,4.65968000
2017-08-17 13:29,4400.00000000,4443.00000000,4400.00000000,4440.00000000,0.61465100
2017-08-17 13:44,4400.00000000,4419.00000000,4400.00000000,4415.00000000,2.07823500
2017-08-17 13:59,4419.00000000,4470.00000000,4419.00000000,4460.00000000,17.51283300
2017-08-17 14:14,4460.00000000,4474.80000000,4454.72000000,4474.80000000,16.08454400
2017-08-17 14:29,4474.80000000,4485.39000000,4465.06000000,4485.39000000,8.84478500
2017-08-17 14:44,4485.39000000,4485.39000000,4459.96000000,4469.93000000,0.58308200
2017-08-17 14:59,4469.93000000,4469.93000000,4427.30000000,4427.30000000,1.50564200
2017-08-17 15:14,4436.06000000,4449.56000000,4436.06000000,4441.87000000,11.17415800
2017-08-17 15:29,4441.87000000,4441.87000000,4418.12000000,4418.12000000,9.92138900
2017-08-17 15:44,4417.00000000,4431.13000000,4411.01000000,4431.13000000,1.08987700
2017-08-17 15:59,4430.00000000,4431.13000000,4411.00000000,4411.00000000,0.84697400
2017-08-17 16:14,4411.00000000,4445.88000000,4411.00000000,4445.88000000,1.25894300
2017-08-17 16:29,4430.43000000,4440.00000000,4422.60000000,4440.00000000,2.45937500
2017-08-17 16:44,4435.12000000,4445.00000000,4425.21000000,4445.00000000,7.50464000
2017-08-17 16:59,4432.07000000,4459.00000000,4425.60000000,4459.00000000,20.08947800
2017-08-17 17:14,4459.00000000,4460.00000000,4435.93000000,4452.71000000,17.33846500
2017-08-17 17:29,4452.71000000,4469.46000000,4437.35000000,4467.81000000,4.31034400
2017-08-17 17:44,4467.81000000,4485.39000000,4452.57000000,4477.53000000,9.85538200
2017-08-17 17:59,4477.53000000,4477.53000000,4453.26000000,4470.82000000,20.23170600
2017-08-17 18:14,4470.82000000,4470.82000000,4453.67000000,4460.00000000,9.80288900
2017-08-17 18:29,4460.00000000,4470.82000000,4412.10000000,4432.20000000,12.79195000
2017-08-17 18:44,4432.20000000,4444.90000000,4374.04000000,4396.47000000,25.40131600
2017-08-17 18:59,4392.95000000,4425.83000000,4333.42000000,4352.34000000,20.48511500
2017-08-17 19:14,4352.33000000,4354.35000000,4255.30000000,4307.17000000,34.17755300
2017-08-17 19:29,4307.17000000,4336.69000000,4265.87000000,4290.17000000,19.03239500
2017-08-17 19:44,4290.17000000,4337.29000000,4290.17000000,4300.29000000,8.11584100
2017-08-17 19:59,4300.29000000,4354.18000000,4300.29000000,4354.18000000,6.13300200
2017-08-17 20:14,4354.18000000,4354.84000000,4326.99000000,4341.31000000,12.10632900
2017-08-17 20:29,4323.23000000,4354.84000000,4301.50000000,4335.28000000,9.29516700
2017-08-17 20:44,4335.28000000,4354.84000000,4328.15000000,4328.15000000,7.04375200
2017-08-17 20:59,4315.11000000,4328.15000000,4235.45000000,4289.24000000,31.21966400
2017-08-17 21:14,4289.24000000,4289.24000000,4218.68000000,4282.43000000,16.31199500
2017-08-17 21:29,4282.43000000,4302.45000000,4273.03000000,4287.69000000,8.63420000
2017-08-17 21:44,4287.69000000,4302.45000000,4237.85000000,4237.85000000,11.59711400
2017-08-17 21:59,4237.85000000,4267.01000000,4222.97000000,4256.97000000,14.73185400
2017-08-17 22:14,4241.91000000,4284.27000000,4200.74000000,4281.87000000,21.91713100
2017-08-17 22:29,4281.87000000,4302.44000000,4247.38000000,4287.61000000,11.24881900
2017-08-17 22:44,4287.61000000,4327.25000000,4287.61000000,4327.25000000,8.16440800
